,title,artist,total_words,total_bad_words,perc_bad_words
566,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,440,4,0.9090909090909091
567,Higher Love,Kygo,337,0,0.0
568,Only Human,Jonas Brothers,331,0,0.0
569,Beautiful People (feat. Khalid),Ed Sheeran,474,1,0.21097046413502107
570,Sucker,Jonas Brothers,385,0,0.0
571,Don't Call Me Up,Mabel,443,0,0.0
572,I Don't Care (with Justin Bieber),Ed Sheeran,455,2,0.43956043956043955
573,Talk (feat. Disclosure),Khalid,255,0,0.0
574,Giant (with Rag'n'Bone Man),Calvin Harris,397,2,0.5037783375314862
575,Takeaway,The Chainsmokers,375,0,0.0
576,All Around The World (La La La),R3HAB,374,0,0.0
577,Girls Like You (feat. Cardi B),Maroon 5,460,2,0.43478260869565216
578,Call You Mine,The Chainsmokers,428,0,0.0
579,No Guidance (feat. Drake),Chris Brown,87,0,0.0
580,Antisocial (with Travis Scott),Ed Sheeran,458,1,0.21834061135371177
581,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,425,1,0.2352941176470588
582,Con Calma - Remix,Daddy Yankee,592,0,0.0
583,Find U Again (feat. Camila Cabello),Mark Ronson,425,1,0.2352941176470588
584,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,412,0,0.0
585,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,158,0,0.0
586,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,263,0,0.0
587,Kills You Slowly,The Chainsmokers,410,2,0.4878048780487805
