,title,artist,year,top genre,pop
148,Wrecking Ball,Miley Cyrus,2013,dance pop,77
149,Impossible,James Arthur,2013,pop,77
150,Blurred Lines,Robin Thicke,2013,dance pop,76
151,Heart Attack,Demi Lovato,2013,dance pop,76
152,We Are Never Ever Getting Back Together,Taylor Swift,2013,pop,75
153,Die Young,Kesha,2013,dance pop,75
154,Clarity,Zedd,2013,complextro,75
155,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,2013,art pop,74
156,Under Control,Calvin Harris,2013,dance pop,74
157,Everybody Talks,Neon Trees,2013,indie pop,74
158,"Hold On, We're Going Home",Drake,2013,canadian hip hop,73
159,Best Song Ever,One Direction,2013,boy band,73
160,Kiss You,One Direction,2013,boy band,73
161,Sweet Nothing (feat. Florence Welch),Calvin Harris,2013,dance pop,72
162,Lose Yourself to Dance,Daft Punk,2013,electro,72
163,Work Bitch,Britney Spears,2013,dance pop,71
164,Brave,Sara Bareilles,2013,acoustic pop,71
165,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,2013,dance pop,70
166,Feel This Moment (feat. Christina Aguilera),Pitbull,2013,dance pop,70
167,Beneath Your Beautiful,Labrinth,2013,pop,70
168,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,dance pop,70
169,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,2013,dance pop,69
170,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,2013,dance pop,69
171,The Way,Ariana Grande,2013,dance pop,68
172,Suit & Tie,Justin Timberlake,2013,dance pop,68
173,#thatPOWER,will.i.am,2013,dance pop,68
174,I Love It (feat. Charli XCX),Icona Pop,2013,candy pop,67
175,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,2013,dance pop,67
176,Daylight,Maroon 5,2013,pop,66
177,Love Somebody,Maroon 5,2013,pop,65
178,A Little Party Never Killed Nobody (All We Got),Fergie,2013,dance pop,65
179,Move,Little Mix,2013,dance pop,63
180,Walks Like Rihanna,The Wanted,2013,boy band,62
181,Rock N Roll,Avril Lavigne,2013,canadian pop,61
182,Heartbreaker,Justin Bieber,2013,canadian pop,61
183,Mirrors - Radio Edit,Justin Timberlake,2013,dance pop,60
184,Next To Me,Emeli Sandé,2013,dance pop,60
185,Made In The USA,Demi Lovato,2013,dance pop,60
186,Clown,Emeli Sandé,2013,dance pop,60
187,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,2013,hip pop,59
188,TKO,Justin Timberlake,2013,dance pop,58
189,Come & Get It,Selena Gomez,2013,dance pop,57
190,Live It Up,Jennifer Lopez,2013,dance pop,57
191,We Own The Night,The Wanted,2013,boy band,56
192,Atlas - From The Hunger Games: Catching Fire Soundtrack,Coldplay,2013,permanent wave,55
193,What About Love,Austin Mahone,2013,dance pop,54
194,Take Back the Night,Justin Timberlake,2013,dance pop,54
195,Applause,Lady Gaga,2013,dance pop,52
196,Anything Could Happen,Ellie Goulding,2013,dance pop,52
197,Finally Found You,Enrique Iglesias,2013,dance pop,52
198,Pom Poms,Jonas Brothers,2013,boy band,52
199,#Beautiful,Mariah Carey,2013,dance pop,51
200,How Ya Doin'? (feat. Missy Elliott),Little Mix,2013,dance pop,50
201,Crazy Kids (feat. will.i.am),Kesha,2013,dance pop,46
202,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,2013,dance pop,45
203,People Like Us,Kelly Clarkson,2013,dance pop,45
204,Overdose,Ciara,2013,dance pop,43
205,Right Now - Dyro Radio Edit,Rihanna,2013,barbadian pop,42
206,Give It 2 U,Robin Thicke,2013,dance pop,41
207,Foolish Games,Jewel,2013,alaska indie,36
208,Outta Nowhere (feat. Danny Mercer),Pitbull,2013,dance pop,35
209,Freak,Kelly Rowland,2013,atl hip hop,28
210,All of Me,John Legend,2014,neo mellow,86
211,Stay With Me,Sam Smith,2014,pop,85
212,Summer,Calvin Harris,2014,dance pop,80
213,"Happy - From ""Despicable Me 2""",Pharrell Williams,2014,dance pop,79
214,Rude,MAGIC!,2014,pop,79
215,Shake It Off,Taylor Swift,2014,pop,78
216,Dark Horse,Katy Perry,2014,dance pop,78
217,Hey Brother,Avicii,2014,big room,78
218,Maps,Maroon 5,2014,pop,78
219,Treasure,Bruno Mars,2014,pop,77
220,Let Her Go,Passenger,2014,folk-pop,77
221,Problem,Ariana Grande,2014,dance pop,75
222,Pompeii,Bastille,2014,metropopolis,73
223,Team,Lorde,2014,art pop,73
224,Love Me Again,John Newman,2014,pop,73
225,Latch,Disclosure,2014,house,72
226,Adore You,Miley Cyrus,2014,dance pop,72
227,Love Never Felt So Good,Michael Jackson,2014,pop,71
228,Burn,Ellie Goulding,2014,dance pop,71
229,She Looks So Perfect,5 Seconds of Summer,2014,boy band,71
230,Fancy,Iggy Azalea,2014,australian hip hop,70
231,Talk Dirty (feat. 2 Chainz),Jason Derulo,2014,dance pop,68
232,Gorilla,Bruno Mars,2014,pop,68
233,human,Christina Perri,2014,dance pop,68
234,Young Girls,Bruno Mars,2014,pop,67
235,Wiggle (feat. Snoop Dogg),Jason Derulo,2014,dance pop,67
236,Love Runs Out,OneRepublic,2014,dance pop,66
237,This Is How We Do,Katy Perry,2014,dance pop,66
238,Mmm Yeah (feat. Pitbull),Austin Mahone,2014,dance pop,65
239,A Little Party Never Killed Nobody (All We Got),Fergie,2014,dance pop,65
240,#SELFIE,The Chainsmokers,2014,electropop,65
241,Partition,Beyoncé,2014,dance pop,65
242,Birthday,Katy Perry,2014,dance pop,65
243,G.U.Y.,Lady Gaga,2014,dance pop,65
244,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,2014,complextro,64
245,"Let It Go - From ""Frozen / Single Version",Demi Lovato,2014,dance pop,63
246,Wings,Birdy,2014,neo mellow,62
247,Can't Remember to Forget You (feat. Rihanna),Shakira,2014,colombian pop,62
248,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,2014,dance pop,61
249,Say Something,A Great Big World,2014,neo mellow,61
250,A Sky Full of Stars,Coldplay,2014,permanent wave,60
251,Come Get It Bae,Pharrell Williams,2014,dance pop,59
252,Chandelier,Sia,2014,australian dance,56
253,XO,Beyoncé,2014,dance pop,56
254,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,2014,dance pop,56
255,Not About Angels,Birdy,2014,neo mellow,56
256,Drunk in Love,Beyoncé,2014,dance pop,52
257,Anaconda,Nicki Minaj,2014,dance pop,50
258,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,2014,candy pop,50
259,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,2014,colombian pop,50
260,Tee Shirt - Soundtrack Version,Birdy,2014,neo mellow,49
261,Words as Weapons,Birdy,2014,neo mellow,44
262,You're Mine (Eternal),Mariah Carey,2014,dance pop,38
263,Sheezus,Lily Allen,2014,dance pop,37
264,Cannonball,Lea Michele,2014,hollywood,37
265,It's On Again - Main Soundtrack,Alicia Keys,2014,hip pop,30
266,I Luh Ya Papi,Jennifer Lopez,2014,dance pop,28
267,Not a Bad Thing,Justin Timberlake,2014,dance pop,0
268,Thinking out Loud,Ed Sheeran,2015,pop,84
269,I'm Not The Only One,Sam Smith,2015,pop,84
270,The Hills,The Weeknd,2015,canadian contemporary r&b,84
271,Love Yourself,Justin Bieber,2015,canadian pop,83
272,Uptown Funk,Mark Ronson,2015,dance pop,82
273,Take Me To Church,Hozier,2015,irish singer-songwriter,81
274,Sugar,Maroon 5,2015,pop,81
275,Sorry,Justin Bieber,2015,canadian pop,81
276,FourFiveSeconds,Rihanna,2015,barbadian pop,80
277,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,2015,dance pop,79
278,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,2015,canadian contemporary r&b,79
279,What Do You Mean?,Justin Bieber,2015,canadian pop,79
280,Stitches,Shawn Mendes,2015,canadian pop,78
281,Want to Want Me,Jason Derulo,2015,dance pop,77
282,My House,Flo Rida,2015,dance pop,77
283,Waves - Robin Schulz Radio Edit,Mr. Probz,2015,tropical house,77
284,Night Changes,One Direction,2015,boy band,77
285,How Deep Is Your Love,Calvin Harris,2015,dance pop,77
286,Never Forget You,Zara Larsson,2015,dance pop,77
287,Love Me Harder,Ariana Grande,2015,dance pop,76
288,Animals,Maroon 5,2015,pop,76
289,Blame,Calvin Harris,2015,dance pop,76
290,Worth It,Fifth Harmony,2015,dance pop,75
291,Break Free,Ariana Grande,2015,dance pop,75
292,Don't,Ed Sheeran,2015,pop,74
293,Elastic Heart,Sia,2015,australian dance,73
294,Rather Be (feat. Jess Glynne),Clean Bandit,2015,dance pop,73
295,Hello,Adele,2015,british soul,73
296,Dear Future Husband,Meghan Trainor,2015,dance pop,72
297,43776,Beyoncé,2015,dance pop,72
298,The Heart Wants What It Wants,Selena Gomez,2015,dance pop,72
299,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,2015,dance pop,72
300,Genie In a Bottle,Christina Aguilera,2015,dance pop,72
301,Company,Justin Bieber,2015,canadian pop,72
302,Sing,Ed Sheeran,2015,pop,71
303,Jealous - Remix,Nick Jonas,2015,dance pop,70
304,Really Don't Care,Demi Lovato,2015,dance pop,70
305,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,2015,dance pop,70
306,Only Love Can Hurt Like This,Paloma Faith,2015,british soul,69
307,Heartbeat Song,Kelly Clarkson,2015,dance pop,69
308,Up,Olly Murs,2015,dance pop,69
309,Trumpets,Jason Derulo,2015,dance pop,69
310,Runnin' (Lose It All),Naughty Boy,2015,tropical house,69
311,Same Old Love,Selena Gomez,2015,dance pop,69
312,I Want You To Know,Zedd,2015,complextro,68
313,Lips Are Movin,Meghan Trainor,2015,dance pop,68
314,I'll Show You,Justin Bieber,2015,canadian pop,68
315,Here,Alessia Cara,2015,canadian contemporary r&b,68
316,I Lived,OneRepublic,2015,dance pop,67
317,Fireball (feat. John Ryan),Pitbull,2015,dance pop,67
318,Easy Love,Sigala,2015,dance pop,67
319,The Feeling,Justin Bieber,2015,canadian pop,67
320,I Really Like You,Carly Rae Jepsen,2015,canadian pop,66
321,BO$$,Fifth Harmony,2015,dance pop,66
322,Sugar,Maroon 5,2015,pop,66
323,Focus,Ariana Grande,2015,dance pop,66
324,All About That Bass,Meghan Trainor,2015,dance pop,65
325,On My Mind,Ellie Goulding,2015,dance pop,65
326,Love Me Like You,Little Mix,2015,dance pop,65
327,Broken Arrows,Avicii,2015,big room,65
328,Booty,Jennifer Lopez,2015,dance pop,64
329,What Do You Mean? - Acoustic,Justin Bieber,2015,canadian pop,64
330,Mark My Words,Justin Bieber,2015,canadian pop,63
331,Lay It All on Me,Rudimental,2015,dance pop,62
332,American Oxygen,Rihanna,2015,barbadian pop,61
333,Bang Bang,Jessie J,2015,australian pop,61
334,Reality - Radio Edit,Lost Frequencies,2015,belgian edm,61
335,Alive,Sia,2015,australian dance,61
336,Sugar (feat. Francesco Yates),Robin Schulz,2015,dance pop,60
337,Been You,Justin Bieber,2015,canadian pop,60
338,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,2015,french indie pop,58
339,See You Again (feat. Charlie Puth),Wiz Khalifa,2015,hip hop,56
340,Heroes (we could be),Alesso,2015,big room,56
341,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,2015,dance pop,55
342,Perfect,One Direction,2015,boy band,55
343,Ghosttown,Madonna,2015,dance pop,54
344,Bang My Head (feat. Sia & Fetty Wap),David Guetta,2015,dance pop,54
345,Bloodstream,Ed Sheeran,2015,pop,52
346,Living For Love,Madonna,2015,dance pop,52
347,Baby Don't Lie,Gwen Stefani,2015,dance pop,52
348,Don't Be so Hard on Yourself,Jess Glynne,2015,dance pop,52
349,Steal My Girl,One Direction,2015,boy band,51
350,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,2015,dance pop,50
351,We Are Here,Alicia Keys,2015,hip pop,49
352,St Jude,Florence + The Machine,2015,art pop,47
353,Yesterday (feat. Bebe Rexha),David Guetta,2015,dance pop,46
354,Time of Our Lives,Pitbull,2015,dance pop,45
355,Sparks,Hilary Duff,2015,dance pop,44
356,Mr. Put It Down,Ricky Martin,2015,dance pop,42
357,Legendary Lovers,Katy Perry,2015,dance pop,41
358,Spark The Fire,Gwen Stefani,2015,dance pop,39
359,Run Run Run,Kelly Clarkson,2015,dance pop,36
360,Let Me Be Your Lover,Enrique Iglesias,2015,dance pop,34
361,Dangerous,Jennifer Hudson,2015,dance pop,18
362,L.A.LOVE (la la),Fergie,2015,dance pop,0
363,The Hills,The Weeknd,2016,canadian contemporary r&b,84
364,Love Yourself,Justin Bieber,2016,canadian pop,83
365,Cake By The Ocean,DNCE,2016,dance pop,81
366,Don't Let Me Down,The Chainsmokers,2016,electropop,81
367,In the Name of Love,Martin Garrix,2016,big room,81
368,Into You,Ariana Grande,2016,dance pop,80
369,This Is What You Came For,Calvin Harris,2016,dance pop,80
370,Million Reasons,Lady Gaga,2016,dance pop,80
371,Needed Me,Rihanna,2016,barbadian pop,80
372,7 Years,Lukas Graham,2016,danish pop,80
373,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016,dance pop,79
374,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2016,dance pop,79
375,Scars To Your Beautiful,Alessia Cara,2016,canadian contemporary r&b,79
376,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,2016,dance pop,79
377,Work,Rihanna,2016,barbadian pop,78
378,Stitches,Shawn Mendes,2016,canadian pop,78
379,"Me, Myself & I",G-Eazy,2016,hip hop,78
380,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2016,dance pop,78
381,Dangerous Woman,Ariana Grande,2016,dance pop,78
382,Starving,Hailee Steinfeld,2016,dance pop,78
383,Shout Out to My Ex,Little Mix,2016,dance pop,77
384,Electric Love,BØRNS,2016,electropop,76
385,Confident,Demi Lovato,2016,dance pop,75
386,Too Good,Drake,2016,canadian hip hop,74
387,Roses,The Chainsmokers,2016,electropop,74
388,Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016,dance pop,73
389,Me Too,Meghan Trainor,2016,dance pop,73
390,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,2016,dance pop,73
391,Ain't Your Mama,Jennifer Lopez,2016,dance pop,72
392,Close,Nick Jonas,2016,dance pop,72
393,Toothbrush,DNCE,2016,dance pop,72
394,All We Know,The Chainsmokers,2016,electropop,72
395,Final Song,MØ,2016,dance pop,72
396,Company,Justin Bieber,2016,canadian pop,72
397,Hands To Myself,Selena Gomez,2016,dance pop,71
398,All I Ask,Adele,2016,british soul,71
399,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,2016,dance pop,71
400,NO,Meghan Trainor,2016,dance pop,70
401,Kill Em With Kindness,Selena Gomez,2016,dance pop,70
402,Cool Girl,Tove Lo,2016,dance pop,69
403,Runnin' (Lose It All),Naughty Boy,2016,tropical house,69
404,Here,Alessia Cara,2016,canadian contemporary r&b,68
405,Perfect Illusion,Lady Gaga,2016,dance pop,67
406,PILLOWTALK,ZAYN,2016,dance pop,66
407,Out Of The Woods,Taylor Swift,2016,pop,66
408,Rise,Katy Perry,2016,dance pop,66
409,Wherever I Go,OneRepublic,2016,dance pop,66
410,Body Say,Demi Lovato,2016,dance pop,65
411,Don't Be A Fool,Shawn Mendes,2016,canadian pop,65
412,LIKE I WOULD,ZAYN,2016,dance pop,65
413,Cheap Thrills,Sia,2016,australian dance,64
414,I Got You,Bebe Rexha,2016,dance pop,64
415,Run Away With Me,Carly Rae Jepsen,2016,canadian pop,63
416,Cruel (feat. ZAYN),Snakehips,2016,dance pop,63
417,Send My Love (To Your New Lover),Adele,2016,british soul,61
418,WTF (Where They From),Missy Elliott,2016,dance pop,58
419,Desire,Years & Years,2016,dance pop,58
420,When We Were Young,Adele,2016,british soul,58
421,I Know What You Did Last Summer,Shawn Mendes,2016,canadian pop,57
422,Wish That You Were Here - From Miss Peregrines Home for Peculiar Children Original Motion Picture,Florence + The Machine,2016,art pop,57
423,Hurts,Emeli Sandé,2016,dance pop,57
424,Change,Christina Aguilera,2016,dance pop,54
425,Make Me... (feat. G-Eazy),Britney Spears,2016,dance pop,53
426,Keeping Your Head Up,Birdy,2016,neo mellow,52
427,True Colors,Zedd,2016,complextro,51
428,Make Me Like You,Gwen Stefani,2016,dance pop,50
429,Champagne Problems,Nick Jonas,2016,dance pop,50
430,Blown,DNCE,2016,dance pop,48
431,Start,John Legend,2016,neo mellow,47
432,Pep Rally,Missy Elliott,2016,dance pop,47
433,Higher,Carly Rae Jepsen,2016,canadian pop,46
434,Invitation,Britney Spears,2016,dance pop,44
435,One Call Away (feat. Tyga) - Remix,Charlie Puth,2016,dance pop,41
436,Beautiful Birds (feat. Birdy),Passenger,2016,folk-pop,36
437,Little Lies,Hilary Duff,2016,dance pop,36
438,Do You Wanna Come Over?,Britney Spears,2016,dance pop,34
439,BURNITUP!,Janet Jackson,2016,dance pop,31
440,Picky - Remix,Joey Montana,2016,latin,29
441,Behind Your Back,Nelly Furtado,2016,canadian latin,18
442,Million Years Ago,Adele,2016,british soul,0
443,Shape of You,Ed Sheeran,2017,pop,87
444,Closer,The Chainsmokers,2017,electropop,86
445,Starboy,The Weeknd,2017,canadian contemporary r&b,85
446,Treat You Better,Shawn Mendes,2017,canadian pop,84
447,That's What I Like,Bruno Mars,2017,pop,83
448,Let Me Love You,DJ Snake,2017,electronic trap,82
449,I Feel It Coming,The Weeknd,2017,canadian contemporary r&b,81
450,Mercy,Shawn Mendes,2017,canadian pop,81
451,Side To Side,Ariana Grande,2017,dance pop,80
452,Stay,Zedd,2017,complextro,80
453,It Ain't Me (with Selena Gomez),Kygo,2017,edm,79
454,Malibu,Miley Cyrus,2017,dance pop,78
455,Something Just Like This,The Chainsmokers,2017,electropop,78
456,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017,dance pop,78
457,I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,2017,dance pop,78
458,My Way,Calvin Harris,2017,dance pop,78
459,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,2017,dance pop,77
460,Praying,Kesha,2017,dance pop,77
461,Despacito - Remix,Luis Fonsi,2017,latin,76
462,The Greatest,Sia,2017,australian dance,76
463,There for You,Martin Garrix,2017,big room,76
464,Paris,The Chainsmokers,2017,electropop,76
465,Crying in the Club,Camila Cabello,2017,dance pop,75
466,Mama,Jonas Blue,2017,dance pop,75
467,Slide (feat. Frank Ocean & Migos),Calvin Harris,2017,dance pop,75
468,Swish Swish,Katy Perry,2017,dance pop,73
469,Chained To The Rhythm,Katy Perry,2017,dance pop,72
470,Cold (feat. Future),Maroon 5,2017,pop,72
471,Love,Lana Del Rey,2017,art pop,72
472,Reggaetón Lento (Remix),CNCO,2017,boy band,71
473,All I Ask,Adele,2017,british soul,71
474,First Time,Kygo,2017,edm,71
475,The Cure,Lady Gaga,2017,dance pop,71
